client,is_root_page,LCP 1MB and under,LCP 1 - 2 MB,p75_lcp_2mb_to_3mb,p75_lcp_3mb_to_4mb,p75_lcp_4mb_to_5mb,p75_lcp_5mb_and_above,p75_cls_1mb_and_below,p75_cls_1mb_to_2mb,p75_cls_2mb_to_3mb,p75_cls_3mb_to_4mb,p75_cls_4mb_to_5mb,p75_cls_5mb_and_above,p75_inp_1mb_and_below,p75_inp_1mb_to_2mb,p75_inp_2mb_to_3mb,p75_inp_3mb_to_4mb,p75_inp_4mb_to_5mb,p75_inp_5mb_and_above,p75_fcp_1mb_and_below,p75_fcp_1mb_to_2mb,p75_fcp_2mb_to_3mb,p75_fcp_3mb_to_4mb,p75_fcp_4mb_to_5mb,p75_fcp_5mb_and_above,p75_ttfb_1mb_and_below,p75_ttfb_1mb_to_2mb,p75_ttfb_2mb_to_3mb,p75_ttfb_3mb_to_4mb,p75_ttfb_4mb_to_5mb,p75_ttfb_5mb_and_above
desktop,Inner Pages,1.56,2.02,2.09,2.21,2.29,2.43,0.04,0.08,0.11,0.13,0.15,0.17,55.0,73.0,77,82.0,88.0,95.0,1342.0,1504.0,1598.0,1640.0,1647,1670.0,837.0,899.0,948.0,947.0,920.0,903.0
desktop,Home Pages,2.13,2.46,2.66,2.84,2.98,3.25,0.05,0.1,0.13,0.14,0.16,0.19,62.0,70.0,73,76.0,78.0,82.0,1743.0,1863.0,1940.0,2022.0,2086,2158.0,1062.0,1109.0,1145.0,1180.0,1202.0,1226.0
mobile,Inner Pages,1.96,2.4,2.61,2.74,2.82,3.03,0.01,0.04,0.09,0.11,0.12,0.16,186.0,227.0,207,213.0,222.0,254.0,1695.0,1844.0,2051.0,2103.0,2124,2204.0,1045.0,1102.0,1175.0,1178.0,1163.0,1161.0
mobile,Home Pages,2.62,2.95,3.2,3.44,3.59,3.84,0.02,0.05,0.08,0.1,0.11,0.14,184.0,177.0,187,204.0,215.0,217.0,2207.0,2347.0,2473.0,2615.0,2702,2802.0,1355.0,1399.0,1443.0,1493.0,1522.0,1572.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// LCP Home page,,,,,,,,// LCP Inner Pages,,,,,,,,// cls Home page,,,,,,,,// cls INNER page,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// INP Home page,,,,,,,,// INP Inner Pages,,,,,,,,,,,,,,,,,,,,,,,
